CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
6H,534,ISRAIR AIRLINES,2025-07-01T15:35:00,2025-07-01T16:47:00,A,CFU,CORFU,קורפו,CORFU,יוון,GREECE,3,,,LANDED,נחתה
6H,573,ISRAIR AIRLINES,2025-07-01T16:35:00,2025-07-01T16:47:00,D,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,3,22-33,A,DEPARTED,המריאה
6H,248,ISRAIR AIRLINES,2025-07-01T16:45:00,2025-07-01T16:51:00,A,SZG,SALZBURG,זלצבורג,SALZBURG,אוסטריה,AUSTRIA,3,,,LANDED,נחתה
IZ,367,ARKIA  ISRAELI  AIRLINES,2025-07-01T14:55:00,2025-07-01T16:55:00,D,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3,34-43,B,DEPARTED,המריאה
AF,7068,AIR FRANCE,2025-07-01T16:35:00,2025-07-01T16:56:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
AM,7898,AERO MEXICO,2025-07-01T16:35:00,2025-07-01T16:56:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
LY,320,EL AL ISRAEL AIRLINES,2025-07-01T16:35:00,2025-07-01T16:56:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
SK,3164,SAS,2025-07-01T16:35:00,2025-07-01T16:56:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
U8,312,TUS AIRWAYS,2025-07-01T16:00:00,2025-07-01T16:56:00,D,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,G1-G5,G,DEPARTED,המריאה
6H,151,ISRAIR AIRLINES,2025-07-01T16:25:00,2025-07-01T16:59:00,D,AGP,MALAGA,מלגה,MALAGA,ספרד,SPAIN,3,22-33,A,DEPARTED,המריאה
BZ,753,BLUE BIRD AIRWAYS,2025-07-01T16:20:00,2025-07-01T17:04:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,LANDED,נחתה
KL,2472,K.L.M.,2025-07-01T17:20:00,2025-07-01T17:07:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
LY,338,EL AL ISRAEL AIRLINES,2025-07-01T17:20:00,2025-07-01T17:07:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
SK,3150,SAS,2025-07-01T17:20:00,2025-07-01T17:07:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
LY,343,EL AL ISRAEL AIRLINES,2025-07-01T16:40:00,2025-07-01T17:08:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,78-99,D,DEPARTED,המריאה
SK,3191,SAS,2025-07-01T16:40:00,2025-07-01T17:08:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,78-99,D,DEPARTED,המריאה
6H,582,ISRAIR AIRLINES,2025-07-01T17:15:00,2025-07-01T17:10:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
DIR,2026,FLYYO,2025-07-01T14:40:00,2025-07-01T17:13:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
AM,7877,AERO MEXICO,2025-07-01T17:00:00,2025-07-01T17:22:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,62-76,C,DEPARTED,המריאה
LY,317,EL AL ISRAEL AIRLINES,2025-07-01T17:00:00,2025-07-01T17:22:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,62-76,C,DEPARTED,המריאה
VS,7495,VIRGIN ATLANTIC AIRWAYS,2025-07-01T17:00:00,2025-07-01T17:22:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,62-76,C,DEPARTED,המריאה
LY,382,EL AL ISRAEL AIRLINES,2025-07-01T16:50:00,2025-07-01T17:24:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
SK,3184,SAS,2025-07-01T16:50:00,2025-07-01T17:24:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
6H,727,ISRAIR AIRLINES,2025-07-01T16:45:00,2025-07-01T17:26:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,22-33,A,DEPARTED,המריאה
AM,7859,AERO MEXICO,2025-07-01T16:55:00,2025-07-01T17:29:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
AR,7872,AEROLINEAS ARGENTINAS S.A.,2025-07-01T16:55:00,2025-07-01T17:29:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
IB,7715,IBERIA,2025-07-01T16:55:00,2025-07-01T17:29:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
LY,396,EL AL ISRAEL AIRLINES,2025-07-01T16:55:00,2025-07-01T17:29:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
LY,348,EL AL ISRAEL AIRLINES,2025-07-01T17:25:00,2025-07-01T17:32:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,LANDED,נחתה
SK,3188,SAS,2025-07-01T17:25:00,2025-07-01T17:32:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,LANDED,נחתה
IZ,417,ARKIA  ISRAELI  AIRLINES,2025-07-01T17:15:00,2025-07-01T17:39:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,43-49,B,DEPARTED,המריאה
AM,7865,AERO MEXICO,2025-07-01T16:55:00,2025-07-01T17:41:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,62-76,C,DEPARTED,המריאה
AR,7857,AEROLINEAS ARGENTINAS S.A.,2025-07-01T16:55:00,2025-07-01T17:41:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,62-76,C,DEPARTED,המריאה
B6,6457,JETBLUE AIRWAYS CORPORATION,2025-07-01T16:55:00,2025-07-01T17:41:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,62-76,C,DEPARTED,המריאה
DL,7432,DELTA AIRLINES,2025-07-01T16:55:00,2025-07-01T17:41:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,62-76,C,DEPARTED,המריאה
LY,011,EL AL ISRAEL AIRLINES,2025-07-01T16:55:00,2025-07-01T17:41:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,62-76,C,DEPARTED,המריאה
B6,6464,JETBLUE AIRWAYS CORPORATION,2025-07-01T17:55:00,2025-07-01T17:42:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
DL,7445,DELTA AIRLINES,2025-07-01T17:55:00,2025-07-01T17:42:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,106,EL AL ISRAEL AIRLINES,2025-07-01T17:55:00,2025-07-01T17:42:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,2373,EL AL ISRAEL AIRLINES,2025-07-01T17:30:00,2025-07-01T17:50:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,78-99,D,DEPARTED,המריאה
EK,2470,EMIRATES,2025-07-01T18:15:00,2025-07-01T17:51:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
FZ,1125,FLYDUBAI,2025-07-01T18:15:00,2025-07-01T17:51:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
AM,7856,AERO MEXICO,2025-07-01T17:10:00,2025-07-01T17:54:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
AR,7856,AEROLINEAS ARGENTINAS S.A.,2025-07-01T17:10:00,2025-07-01T17:54:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
B6,6456,JETBLUE AIRWAYS CORPORATION,2025-07-01T17:10:00,2025-07-01T17:54:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
DL,7431,DELTA AIRLINES,2025-07-01T17:10:00,2025-07-01T17:54:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,008,EL AL ISRAEL AIRLINES,2025-07-01T17:10:00,2025-07-01T17:54:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
